id_local,Nombre,desc_situacion_terraza,desc_ubicacion_terraza,id_distrito_local,desc_distrito_local,desc_barrio_local
270161911,CAFETERIA  BAR BIG BEN,Abierta,Acera,13,PUENTE DE VALLECAS,PORTAZGO
270161923,BAR VLAZQUEZ,Abierta,Acera,13,PUENTE DE VALLECAS,PORTAZGO
270408661,BAR CERVECERIA AN PA,Abierta,Acera,13,PUENTE DE VALLECAS,PALOMERAS SURESTE
280057443,TABERNA PLAZA VIEJA,Abierta,Acera,13,PUENTE DE VALLECAS,SAN DIEGO
285037712,BAR EL FOLGUERE?O,Abierta,Acera,13,PUENTE DE VALLECAS,NUMANCIA
280072877,CHICAS,Abierta,Acera,15,CIUDAD LINEAL,CONCEPCION
280071319,BAR EL PARQUE,Abierta,Acera,15,CIUDAD LINEAL,PUEBLO NUEVO
40002172,TOMMY MEL'S,Abierta,Acera,4,SALAMANCA,RECOLETOS
40000513,CERVECERIA VERGARA,Abierta,Acera,4,SALAMANCA,GOYA
285037049,HELADERIA,Abierta,Acera,13,PUENTE DE VALLECAS,PORTAZGO
280058682,BAR EL BARRIO,Abierta,Acera,13,PUENTE DE VALLECAS,PORTAZGO
280058398,EL MESON ESCONDIDO,Abierta,Acera,13,PUENTE DE VALLECAS,PORTAZGO
270405023,MESON LA BRASA,Abierta,Acera,13,PUENTE DE VALLECAS,PALOMERAS BAJAS
270161724,SAN CLAUDIO,Abierta,Acera,13,PUENTE DE VALLECAS,PALOMERAS SURESTE
270400954,BAR LOS PALETOS,Abierta,Acera,13,PUENTE DE VALLECAS,PALOMERAS SURESTE
280058224,BAR MARTINEZ CERVECERIA,Abierta,Acera,13,PUENTE DE VALLECAS,PALOMERAS SURESTE
270239851,MESON LOS EXTREME?OS,Abierta,Acera,13,PUENTE DE VALLECAS,PALOMERAS SURESTE
130001511,CAFETER?A ATENEZ,Abierta,Acera,13,PUENTE DE VALLECAS,ENTREVIAS
270160206,BAR MORENO,Abierta,Acera,13,PUENTE DE VALLECAS,SAN DIEGO
270162160,BAR ALMARAZ,Abierta,Acera,13,PUENTE DE VALLECAS,PORTAZGO
130001044,BAR MADRID,Abierta,Acera,13,PUENTE DE VALLECAS,PALOMERAS SURESTE
270160966,BAR PITORRA,Abierta,Acera,13,PUENTE DE VALLECAS,PALOMERAS SURESTE
270352600,BAR LA PLAZA,Abierta,Acera,13,PUENTE DE VALLECAS,ENTREVIAS
110002985,BAR LA COSTA,Abierta,Acera,11,CARABANCHEL,COMILLAS
285024001,CAFETERIA-PASTELERIA-PANADERIA,Abierta,Acera,11,CARABANCHEL,SAN ISIDRO
270392469,CAFE-BAR-TERRAZA,Abierta,Acera,11,CARABANCHEL,PUERTA BONITA
280056024,CAFESSIA,Abierta,Acera,11,CARABANCHEL,BUENAVISTA
120000276,CAMPO DE RUGBY,Abierta,Otros,12,USERA,ZOFIO
270444402,CERVECERIA MARISQUERIA GILAN,Abierta,Acera,12,USERA,MOSCARDO
270363461,CAFETERIA JAVI,Abierta,Acera,12,USERA,ORCASUR
270484969,IRISH CITY SPORTS BAR,Abierta,Acera,3,RETIRO,PACIFICO
30000586,VOSS...,Abierta,Acera,3,RETIRO,IBIZA
270064811,PLAYA TORRENOSTRA TRES,Abierta,Acera,3,RETIRO,LOS JERONIMOS
270436550,SIN INDICAR,Abierta,Acera,3,RETIRO,IBIZA
270062512,BENDETTA,Abierta,Bulevar,3,RETIRO,IBIZA
270059155,CAF? L'BELGIQUE,Abierta,Acera,3,RETIRO,PACIFICO
